id,predicted_label,true_label,is_correct,confidence
161_1,161,161,True,99.98%
161_2,161,161,True,99.99%
161_3,164,161,False,57.21%
161_4,161,161,True,99.46%
161_5,161,161,True,96.33%
161_6,161,161,True,99.82%
162_1,162,162,True,99.47%
162_2,162,162,True,99.67%
162_3,162,162,True,99.16%
162_4,162,162,True,99.47%
162_5,162,162,True,99.72%
162_6,162,162,True,99.85%
163_1,163,163,True,55.63%
163_2,162,163,False,38.78%
163_3,178,163,False,64.63%
163_4,163,163,True,56.09%
163_5,163,163,True,89.39%
163_6,163,163,True,84.67%
164_1,164,164,True,98.70%
164_2,164,164,True,93.02%
164_3,164,164,True,98.77%
164_4,164,164,True,96.14%
164_5,164,164,True,97.11%
164_6,164,164,True,98.68%
167_1,167,167,True,99.99%
167_2,167,167,True,99.95%
167_3,167,167,True,100.00%
167_4,167,167,True,100.00%
167_5,167,167,True,100.00%
167_6,167,167,True,99.95%
168_1,168,168,True,99.68%
168_2,168,168,True,80.84%
168_3,168,168,True,49.09%
168_4,168,168,True,58.80%
168_5,168,168,True,63.67%
168_6,168,168,True,54.68%
169_1,169,169,True,99.80%
169_2,169,169,True,83.46%
169_3,169,169,True,99.74%
169_4,169,169,True,99.67%
169_5,169,169,True,99.29%
169_6,169,169,True,99.92%
170_1,170,170,True,99.97%
170_2,170,170,True,99.90%
170_3,170,170,True,97.25%
170_4,170,170,True,99.31%
170_5,170,170,True,99.30%
170_6,170,170,True,99.33%
171_1,171,171,True,99.86%
171_2,171,171,True,93.72%
171_3,171,171,True,99.54%
171_4,171,171,True,97.71%
171_5,171,171,True,93.00%
171_6,171,171,True,95.91%
173_1,173,173,True,80.17%
173_2,173,173,True,98.88%
173_3,173,173,True,85.07%
173_4,173,173,True,91.67%
173_5,173,173,True,95.12%
173_6,173,173,True,98.43%
175_1,175,175,True,100.00%
175_2,175,175,True,100.00%
175_3,175,175,True,99.94%
175_4,175,175,True,99.99%
175_5,175,175,True,99.86%
175_6,175,175,True,100.00%
176_1,176,176,True,66.11%
176_2,176,176,True,76.64%
176_3,176,176,True,91.25%
176_4,176,176,True,93.78%
176_5,176,176,True,95.55%
176_6,176,176,True,95.39%
177_1,210,177,False,24.62%
177_2,210,177,False,70.58%
177_3,178,177,False,84.92%
177_4,178,177,False,42.42%
177_5,210,177,False,22.96%
177_6,210,177,False,18.27%
178_1,178,178,True,99.99%
178_2,178,178,True,99.99%
178_3,178,178,True,99.90%
178_4,178,178,True,100.00%
178_5,178,178,True,99.95%
178_6,178,178,True,99.96%
179_1,179,179,True,100.00%
179_2,179,179,True,100.00%
179_3,179,179,True,99.85%
179_4,179,179,True,99.99%
179_5,179,179,True,100.00%
179_6,179,179,True,100.00%
180_1,180,180,True,98.66%
180_2,180,180,True,99.60%
180_3,180,180,True,98.21%
180_4,180,180,True,99.91%
180_5,180,180,True,99.71%
180_6,180,180,True,99.68%
181_1,181,181,True,94.42%
181_2,181,181,True,97.13%
181_3,181,181,True,91.78%
181_4,181,181,True,99.56%
181_5,181,181,True,94.08%
181_6,181,181,True,97.68%
182_1,182,182,True,99.80%
182_2,182,182,True,99.53%
182_3,197,182,False,54.79%
182_4,182,182,True,83.20%
182_5,182,182,True,99.00%
182_6,182,182,True,99.83%
183_1,183,183,True,99.72%
183_2,183,183,True,99.45%
183_3,183,183,True,96.90%
183_4,183,183,True,90.90%
183_5,183,183,True,99.66%
183_6,183,183,True,99.48%
184_1,184,184,True,99.98%
184_2,184,184,True,93.76%
184_3,184,184,True,99.33%
184_4,184,184,True,86.27%
184_5,184,184,True,99.96%
184_6,184,184,True,99.96%
185_1,185,185,True,99.94%
185_2,185,185,True,99.96%
185_3,185,185,True,99.93%
185_4,185,185,True,99.96%
185_5,185,185,True,99.91%
185_6,185,185,True,99.92%
186_1,186,186,True,99.64%
186_2,186,186,True,99.90%
186_3,186,186,True,88.01%
186_4,186,186,True,99.85%
186_5,186,186,True,91.18%
186_6,186,186,True,96.03%
187_1,187,187,True,99.99%
187_2,187,187,True,100.00%
187_3,187,187,True,99.50%
187_4,187,187,True,99.97%
187_5,187,187,True,99.92%
187_6,187,187,True,99.99%
188_1,188,188,True,100.00%
188_2,188,188,True,100.00%
188_3,188,188,True,100.00%
188_4,188,188,True,100.00%
188_5,188,188,True,100.00%
188_6,188,188,True,100.00%
189_1,189,189,True,99.97%
189_2,189,189,True,100.00%
189_3,189,189,True,100.00%
189_4,189,189,True,100.00%
189_5,189,189,True,100.00%
189_6,189,189,True,100.00%
190_1,190,190,True,99.50%
190_2,190,190,True,99.74%
190_3,190,190,True,99.95%
190_4,190,190,True,99.89%
190_5,190,190,True,99.87%
190_6,190,190,True,99.81%
191_1,191,191,True,99.98%
191_2,191,191,True,100.00%
191_3,191,191,True,99.88%
191_4,191,191,True,99.98%
191_5,191,191,True,99.33%
191_6,191,191,True,99.99%
192_1,192,192,True,98.15%
192_2,192,192,True,99.52%
192_3,192,192,True,93.85%
192_4,192,192,True,99.65%
192_5,192,192,True,98.33%
192_6,192,192,True,99.81%
193_1,193,193,True,95.81%
193_2,193,193,True,99.92%
193_3,193,193,True,98.82%
193_4,193,193,True,99.51%
193_5,193,193,True,97.59%
193_6,193,193,True,98.48%
194_1,194,194,True,99.92%
194_2,194,194,True,99.60%
194_3,194,194,True,97.18%
194_4,194,194,True,99.96%
194_5,194,194,True,99.91%
194_6,194,194,True,99.92%
