id,label
161_1,161
161_2,161
161_3,164
161_4,161
161_5,161
161_6,161
162_1,162
162_2,162
162_3,162
162_4,162
162_5,162
162_6,162
163_1,163
163_2,162
163_3,178
163_4,163
163_5,163
163_6,163
164_1,164
164_2,164
164_3,164
164_4,164
164_5,164
164_6,164
167_1,167
167_2,167
167_3,167
167_4,167
167_5,167
167_6,167
168_1,168
168_2,168
168_3,168
168_4,168
168_5,168
168_6,168
169_1,169
169_2,169
169_3,169
169_4,169
169_5,169
169_6,169
170_1,170
170_2,170
170_3,170
170_4,170
170_5,170
170_6,170
171_1,171
171_2,171
171_3,171
171_4,171
171_5,171
171_6,171
173_1,173
173_2,173
173_3,173
173_4,173
173_5,173
173_6,173
175_1,175
175_2,175
175_3,175
175_4,175
175_5,175
175_6,175
176_1,176
176_2,176
176_3,176
176_4,176
176_5,176
176_6,176
177_1,210
177_2,210
177_3,178
177_4,178
177_5,210
177_6,210
178_1,178
178_2,178
178_3,178
178_4,178
178_5,178
178_6,178
179_1,179
179_2,179
179_3,179
179_4,179
179_5,179
179_6,179
180_1,180
180_2,180
180_3,180
180_4,180
180_5,180
180_6,180
181_1,181
181_2,181
181_3,181
181_4,181
181_5,181
181_6,181
182_1,182
182_2,182
182_3,197
182_4,182
182_5,182
182_6,182
183_1,183
183_2,183
183_3,183
183_4,183
183_5,183
183_6,183
184_1,184
184_2,184
184_3,184
184_4,184
184_5,184
184_6,184
185_1,185
185_2,185
185_3,185
185_4,185
185_5,185
185_6,185
186_1,186
186_2,186
186_3,186
186_4,186
186_5,186
186_6,186
187_1,187
187_2,187
187_3,187
187_4,187
187_5,187
187_6,187
188_1,188
188_2,188
188_3,188
188_4,188
188_5,188
188_6,188
189_1,189
189_2,189
189_3,189
189_4,189
189_5,189
189_6,189
190_1,190
190_2,190
190_3,190
190_4,190
190_5,190
190_6,190
191_1,191
191_2,191
191_3,191
191_4,191
191_5,191
191_6,191
192_1,192
192_2,192
192_3,192
192_4,192
192_5,192
192_6,192
193_1,193
193_2,193
193_3,193
193_4,193
193_5,193
193_6,193
194_1,194
194_2,194
194_3,194
194_4,194
194_5,194
194_6,194
195_1,195
195_2,195
195_3,195
195_4,195
195_5,195
195_6,195
196_1,196
196_2,196
196_3,196
196_4,196
196_5,196
196_6,196
197_1,197
197_2,197
197_3,197
197_4,197
197_5,197
197_6,197
199_1,199
199_2,199
199_3,199
199_4,199
199_5,199
199_6,199
200_1,200
200_2,200
200_3,200
200_4,200
200_5,200
200_6,200
201_1,201
201_2,201
201_3,201
201_4,201
201_5,201
201_6,201
202_1,202
202_2,202
202_3,202
202_4,202
202_5,202
202_6,202
203_1,203
203_2,203
203_3,203
203_4,203
203_5,203
203_6,203
204_1,190
204_2,204
204_3,204
204_4,204
204_5,204
204_6,204
205_1,205
205_2,205
205_3,205
205_4,205
205_5,205
205_6,205
206_1,206
206_2,206
206_3,206
206_4,206
206_5,206
206_6,206
207_1,207
207_2,207
207_3,207
207_4,207
207_5,207
207_6,207
209_1,209
209_2,209
209_3,209
209_4,209
209_5,209
209_6,209
210_1,210
210_2,210
210_3,210
210_4,210
210_5,210
210_6,210
212_1,212
212_2,212
212_3,212
212_4,212
212_5,212
212_6,212
213_1,213
213_2,213
213_3,213
213_4,213
213_5,213
213_6,213
214_1,214
214_2,214
214_3,214
214_4,214
214_5,214
214_6,214
215_1,215
215_2,215
215_3,215
215_4,213
215_5,215
215_6,215
216_1,216
216_2,216
216_3,216
216_4,168
216_5,213
216_6,168
217_1,217
217_2,217
217_3,233
217_4,209
217_5,209
217_6,217
224_1,224
224_2,224
224_3,224
224_4,224
224_5,224
224_6,224
225_1,225
225_2,225
225_3,225
225_4,225
225_5,225
225_6,225
226_1,226
226_2,226
226_3,226
226_4,226
226_5,226
226_6,226
227_1,227
227_2,227
227_3,227
227_4,227
227_5,227
227_6,227
228_1,228
228_2,228
228_3,228
228_4,228
228_5,228
228_6,228
229_1,210
229_2,210
229_3,210
229_4,210
229_5,210
229_6,210
230_1,230
230_2,230
230_3,210
230_4,230
230_5,230
230_6,230
231_1,248
231_2,231
231_3,202
231_4,202
231_5,231
231_6,231
232_1,216
232_2,232
232_3,213
232_4,210
232_5,210
232_6,209
233_1,233
233_2,233
233_3,233
233_4,233
233_5,233
233_6,233
234_1,210
234_2,234
234_3,234
234_4,234
234_5,234
234_6,234
236_1,236
236_2,236
236_3,236
236_4,236
236_5,236
236_6,236
240_1,240
240_2,240
240_3,240
240_4,240
240_5,240
240_6,240
241_1,241
241_2,241
241_3,241
241_4,241
241_5,241
241_6,241
242_1,242
242_2,242
242_3,242
242_4,242
242_5,242
242_6,242
243_1,243
243_2,243
243_3,243
243_4,243
243_5,243
243_6,243
244_1,244
244_2,244
244_3,231
244_4,244
244_5,244
244_6,244
245_1,245
245_2,245
245_3,245
245_4,245
245_5,245
245_6,245
246_1,246
246_2,246
246_3,246
246_4,246
246_5,246
246_6,246
247_1,247
247_2,247
247_3,247
247_4,247
247_5,243
247_6,247
248_1,248
248_2,231
248_3,231
248_4,248
248_5,248
248_6,248
249_1,249
249_2,210
249_3,202
249_4,202
249_5,202
249_6,202
